loc=(1, 2), old=1, new=0, TYPE=ActionTypes.SETCELL
loc=(2, 3), old=1, new=0, TYPE=ActionTypes.SETCELL
loc=(3, 2), old=1, new=0, TYPE=ActionTypes.SETCELL
loc=(4, 1), old=1, new=0, TYPE=ActionTypes.SETCELL
loc=(5, 2), old=1, new=0, TYPE=ActionTypes.SETCELL
loc=(6, 3), old=1, new=0, TYPE=ActionTypes.SETCELL
loc=(7, 2), old=1, new=0, TYPE=ActionTypes.SETCELL
loc=(8, 1), old=1, new=0, TYPE=ActionTypes.SETCELL
loc=(9, 2), old=1, new=0, TYPE=ActionTypes.SETCELL
loc=(9, 4), old=1, new=0, TYPE=ActionTypes.SETCELL
loc=(8, 5), old=1, new=0, TYPE=ActionTypes.SETCELL
loc=(6, 5), old=1, new=0, TYPE=ActionTypes.SETCELL
loc=(5, 6), old=1, new=0, TYPE=ActionTypes.SETCELL
loc=(5, 8), old=1, new=0, TYPE=ActionTypes.SETCELL
loc=(4, 9), old=1, new=0, TYPE=ActionTypes.SETCELL
loc=(3, 8), old=1, new=0, TYPE=ActionTypes.SETCELL
loc=(2, 7), old=1, new=0, TYPE=ActionTypes.SETCELL
loc=(1, 8), old=1, new=0, TYPE=ActionTypes.SETCELL
loc=(1, 6), old=1, new=0, TYPE=ActionTypes.SETCELL
loc=(2, 5), old=1, new=0, TYPE=ActionTypes.SETCELL
loc=(6, 9), old=1, new=0, TYPE=ActionTypes.SETCELL
loc=(8, 9), old=1, new=0, TYPE=ActionTypes.SETCELL
loc=(9, 8), old=1, new=0, TYPE=ActionTypes.SETCELL
loc=(8, 7), old=1, new=0, TYPE=ActionTypes.SETCELL
