MazeSize,Solver,Average_Time,Average_Memory
3x3,RightHandRule,0.000040,244
3x3,Tremaux,0.000350,3107
3x3,BreadthFirst,0.000070,1796
3x3,DepthFirst,0.000165,1548
3x3,AStar,0.000121,1104
3x3,Dijkstra,0.000134,978
3x3,RecursiveBacktracking,0.000077,2433
3x3,GreedyBestFirstSearch,0.000123,1187
5x5,RightHandRule,0.000110,393
5x5,BreadthFirst,0.000276,3911
5x5,DepthFirst,0.000390,5562
5x5,AStar,0.000319,1989
5x5,Tremaux,0.000603,9341
5x5,Dijkstra,0.000325,2189
5x5,GreedyBestFirstSearch,0.000241,2484
5x5,RecursiveBacktracking,0.000216,8462
6x6,RightHandRule,0.000210,585
6x6,Tremaux,0.000836,13639
6x6,BreadthFirst,0.000357,4256
6x6,RecursiveBacktracking,0.000327,13896
6x6,DepthFirst,0.000532,8690
6x6,AStar,0.000401,3331
6x6,Dijkstra,0.000465,3271
6x6,GreedyBestFirstSearch,0.000352,3526
8x8,RightHandRule,0.000393,1007
8x8,BreadthFirst,0.000427,6908
8x8,Tremaux,0.001903,36320
8x8,DepthFirst,0.000873,19725
8x8,RecursiveBacktracking,0.000537,32338
8x8,AStar,0.000579,5160
8x8,Dijkstra,0.000475,3841
8x8,GreedyBestFirstSearch,0.000546,5348
10x10,RightHandRule,0.000639,1526
10x10,BreadthFirst,0.000816,11934
10x10,DepthFirst,0.001263,33797
10x10,Tremaux,0.003359,76847
10x10,AStar,0.000962,7260
10x10,RecursiveBacktracking,0.000962,68713
10x10,Dijkstra,0.001109,10073
10x10,GreedyBestFirstSearch,0.000771,7438
15x15,RightHandRule,0.001843,3691
15x15,BreadthFirst,0.001680,22396
15x15,DepthFirst,0.004569,125055
15x15,AStar,0.002941,19296
15x15,Dijkstra,0.002498,19871
15x15,RecursiveBacktracking,0.002794,232713
15x15,Tremaux,0.011052,274916
15x15,GreedyBestFirstSearch,0.002838,21438
20x20,RightHandRule,0.004182,5896
20x20,BreadthFirst,0.004233,38454
20x20,DepthFirst,0.007876,388821
20x20,AStar,0.004441,29863
20x20,Dijkstra,0.005225,38429
20x20,GreedyBestFirstSearch,0.003777,44712
30x30,RightHandRule,0.007943,28834
30x30,BreadthFirst,0.007939,106834
30x30,DepthFirst,0.023400,1540825
30x30,AStar,0.014101,91270
30x30,Dijkstra,0.011897,98082
30x30,GreedyBestFirstSearch,0.007283,95438
40x40,RightHandRule,0.015660,91921
40x40,BreadthFirst,0.020106,222778
40x40,DepthFirst,0.050608,3944886
40x40,AStar,0.029419,196195
40x40,Dijkstra,0.025164,206563
40x40,GreedyBestFirstSearch,0.013140,189620
60x60,RightHandRule,0.041398,353609
60x60,BreadthFirst,0.067958,666077
60x60,DepthFirst,0.199753,16481333
60x60,AStar,0.083753,515263
60x60,Dijkstra,0.073681,529916
60x60,GreedyBestFirstSearch,0.037759,504680
80x80,RightHandRule,0.053569,480858
80x80,BreadthFirst,0.167212,1271416
80x80,DepthFirst,0.530714,46001125
80x80,AStar,0.203634,1052417
80x80,Dijkstra,0.193247,1085268
80x80,GreedyBestFirstSearch,0.095149,1087762
100x100,RightHandRule,0.061850,529033
100x100,BreadthFirst,0.302093,1724806
100x100,DepthFirst,1.098736,85434269
100x100,AStar,0.399492,1647363
100x100,Dijkstra,0.338933,1747314
100x100,GreedyBestFirstSearch,0.211513,1967200

20x20,Tremaux,0.026100,666155
20x20,RecursiveBacktracking,0.008464,675827
30x30,Tremaux,0.112654,2647107
30x30,RecursiveBacktracking,0.038278,2886876
40x40,Tremaux,0.448143,7392071
40x40,RecursiveBacktracking,0.115175,7135770
60x60,Tremaux,2.095229,24168055
60x60,RecursiveBacktracking,1.433998,45659466
80x80,Tremaux,7.228635,76611754
80x80,RecursiveBacktracking,2.010303,67955698
100x100,Tremaux,21.679799,260641720
100x100,RecursiveBacktracking,8.651075,287077425
